Expiration Date,Policy Number,Effective Date,Policy Term,Customer _ Firm Name,"Customer _ Last name, First name",Company,Company Type,Cust #,First Named Insured's City,First Named Insured's State,Writing Company,Company Underwriter,Policy Notation,Policy Status,Policy Type Short Name,Policy Type,Policy Description,Bill Method,Total Cost,Full Term Premium,Policy Executive,Policy Representative,Policy Broker,Policy Division,Policy Branch,Policy Department,Policy Group,Lines of Business,Customer Contact Name,Customer Contact Residence,Customer Contact Business,Customer Contact E-mail,Customer Contact Cell,Business with Agency,Add'l Policy Exec 1,Add'l Policy Exec 2,Add'l Policy Rep 1,Add'l Policy Rep 2,Policy Sales Center Rep 1,Policy Sales Center Rep 2,Policy Id
1/1/2021,343682721,7/1/2020,07/01/2020 - 01/01/2021,,"Littel, Tashina",Dach-Mosciski,Insurance,33271,Jacksonville,FL,Progressive American Insurance Co,,,Renewed,AUTOP,Private Passenger Auto,,Direct bill,630.68,624,Agency,"Clark, Dena",,Erwin Insurance LLC,Jacksonville,Personal,Select Services,AUTOP,"Miller, Susan ",(038)8626011 Ext:,,susana.m0212@att.net,,,,,,,,,38b7a47a-e369-47e2-bf9a-de31981075da
1/1/2021,448353060,7/1/2020,07/01/2020 - 01/01/2021,,"Lind, Ron",Dach-Mosciski,Insurance,12529,Jacksonville,FL,Progressive American Insurance Co,,,Renewed,AUTOP,Private Passenger Auto,,Direct bill,598,598,Agency,"Unverferth, Adrienne",,Erwin Insurance LLC,Jacksonville,Personal,Select Services,AUTOP,"Frazier, Wilhelmina & James ",,(904)3564579 Ext:,,,P,,,,,,,7f6933e6-a770-4b07-9ef0-78f2fa52fdd3
1/1/2021,2734367193,7/1/2020,07/01/2020 - 01/01/2021,,"Volkman, Kira",Lind Inc,Insurance,34411,Jacksonville,FL,Direct General Ins Co,,,Renewed,AUTOP,Private Passenger Auto,UM 7/1/2020 (APP),Direct bill,1829,1922,Agency,"Mccredie, Sheri",,Erwin Insurance LLC,Jacksonville,Personal,Select Services,AUTOP,"Hamwey, Rhianna ",,,hamweyrhianna@gmail.com,(904)6017580 Ext:,P,,,,,,,46951bcf-2b6c-4a0c-8a18-60d43f2c5bf1
1/1/2021,510912006,7/1/2020,07/01/2020 - 01/01/2021,,"Brakus, Sharon",Dach-Mosciski,Insurance,6515,Jacksonville,FL,Progressive American Insurance Co,,,Renewed,AUTOP,Private Passenger Auto,,Direct bill,2979.64,2723,"Unverferth, Adrienne",Agency,,Erwin Insurance LLC,Jacksonville,Personal,Private Client,AUTOP,"Haynes, Edwin ",,,ekh0840@gmail.com,(904)5362768 Ext:,P,,,,,,,113b7f8a-21da-412a-b904-94f0c43d47d6
1/1/2021,173082770,7/1/2020,07/01/2020 - 01/01/2021,,"Goldner, Erick",Dach-Mosciski,Insurance,33854,Jacksonville,FL,Progressive Corporation,,,Renewed,AUTOP,Private Passenger Auto,,Direct bill,507.82,510,Agency,"Drummond, Linda",,Erwin Insurance LLC,Jacksonville,Personal,Select Services,AUTOP,"Price, Carla ",,,carlaprice516@gmail.com,(419)6039083 Ext:,P,,,,,,,a982d4c1-2135-4ef0-96b4-24e9377f2a10
1/1/2021,815580325,1/1/2020,01/01/2020 - 01/01/2021,"Beck's Outboard, Inc. ","Roob, Renato",Carroll-Reichel,Brokerage,25,Jacksonville,FL,Retail First Insurance Company,,,Renewed,WORK,Workers Compensation,,Direct bill,0,0,"Alexander, John",Agency,,Erwin Insurance LLC,Jacksonville,Commercial,Commercial Services,WORK,Kay Hardage,,(904)7659910 Ext:,,,C,,,,,,,173b5bf2-0980-46d4-be07-668285d64fca
1/1/2021,82748028586,1/1/2020,01/01/2020 - 01/01/2021,Brilliant Harvest LLC DBA: Brilliant Harvest,,Paucek-Green,Brokerage,34361,Sarasota,FL,Ohio Security Insurance Company,,,Renewed,CGL,General Liability,General Liability,Direct bill,1662,1662,"Ellis, Janet",Agency,,Erwin Insurance LLC,Jacksonville,Commercial,Commercial Services,CGL,"Norton, Leslie",,,leslie@brilliantharvest.com,,C,,,,,,,ccf64911-eaa4-4759-a1a6-eab2bef4e4e9
1/1/2021,86638722755,1/1/2020,01/01/2020 - 01/01/2021,Brilliant Harvest LLC DBA: Brilliant Harvest,,Paucek-Green,Brokerage,34361,Sarasota,FL,The Ohio Casualty Insurance Co,,,Renewed,INMRC,Inland Marine (C),Inland Marine,Direct bill,962,500,"Ellis, Janet",Agency,,Erwin Insurance LLC,Jacksonville,Commercial,Commercial Services,"CONTR,INMRC","Norton, Leslie",,,leslie@brilliantharvest.com,,C,,,,,,,2d517eb7-8f3c-4180-b77d-b2e0278704d5
1/1/2021,317120508,1/1/2020,01/01/2020 - 01/01/2021,Brilliant Harvest LLC DBA: Brilliant Harvest,,"Murray, Heaney and Rodriguez",Insurance,34361,Sarasota,FL,AmGUARD,,,Renewed,AUTOB,Business Auto,,Direct bill,16419,16419,"Ellis, Janet",Agency,,Erwin Insurance LLC,Jacksonville,Commercial,Commercial Services,AUTOB,"Norton, Leslie",,,leslie@brilliantharvest.com,,C,,,,,,,7dc7a0cc-7fe7-4e9a-b173-75eb73c71363
1/1/2021,76987107626,1/1/2020,01/01/2020 - 01/01/2021,"Clamour Theatre Company, Inc. ","Pacocha, Jonas",Parker-Daniel,Brokerage,34794,Middleburg,FL,United States Liability Ins,,,Renewed,P,Package,,Direct bill,1205,1205,"Ellis, Janet",Agency,,Erwin Insurance LLC,Jacksonville,Commercial,Commercial Services,CGL,"Smith, Elaine ",,(917)9027210 Ext:,esmith@clamourtheatre.org,,C,,,,,,,a06bfd9c-9485-4a8a-839d-a58764018ed3
